ID,MachineLearning,DataAnalysis,DataVisualization,Graphicdesign,Datastructures,Cloudcomputing,Marketing,ContentMarketing,SocialMediaMarketing,WebDeveloment,Architecture,MITCourse
1,Machine Learning (Coursera x Stanford), Data Science Specialization — JHU (Coursera),Data Visualization Degrees & Certificates Online (Coursera),Visual identity graphic design.,Data Structures and Algorithms Certificate Course (Coursera),Google Cloud Fundamentals. , Inbound Marketing Certification - HubSpot Academy, HubSpot Inbound Marketing Certification - HubSpot Academy,Free Social Media Certification - HubSpot Academy,Make a Website - CodeAcademy,Masters in Architecture,Mechanical Engineering
2,Intro to Machine Learning & Machine Learning Engineer (Udacity),Introduction to Data Science — Metis,Data Visualization Courses (Udemy),User interface graphic design.,Algorithms Course by Stanford University (Coursera),Cloud Computing by IBM. ,Content Marketing Certification - HubSpot Academy, HubSpot Content Marketing Certification - HubSpot Academy, Developing an End-to-End Instagram Marketing Strategy For Your Business - HubSpot Academy, Learn Javascript - CodeAcademy,M. Arch. in Conservation and Restoration,Mechanical Engineering (Robotics & Automation)
3,AI & Machine Learning Career Track? (Springboard), Applied Data Science with Python Specialization — UMich (Coursera),Free Data Visualization Courses (edX),Motion graphic design., Coding Interview Bootcamp: Algorithms + Data Structures (Udemy),Cloud Computing Concepts by Coursera,Internet Marketing for Smart People - Copyblogger, Internet Marketing for Smart People - Copyblogger, Strategic Social Media Marketing - edX, Learn Ruby - CodeAcademy,M. Arch in Architectural History and Theory,Civil Engineering
4,Advanced Machine Learning Specialization (Coursera), Dataquest,Data Visualization – Nanodegree Certification (Udacity),Publication graphic design., Discrete Mathematics Certification Course (Coursera),Introduction to Cloud Foundry and Cloud-Native Software Architecture,Viral Marketing and How to Craft Contagious Content - Coursera, Viral Marketing and How to Craft Contagious Content - Coursera, Diploma in Social Media Marketing - Alison, Learn Python - CodeAcademy,M. Arch. in Landscape Design,Chemical Engineering
5,Machine Learning Certification Course (Simplilearn),Statistics and Data Science MicroMasters — MIT (edX),Data Visualization in Python (Codecademy),Packaging graphic design., Data Structures & Algorithms – Interview (Udemy),Cloud Computing by UMUC,The Strategy of Content Marketing - Coursera,The Strategy of Content Marketing - Coursera, Facebook Blueprint - Facebook, Learn HTML & CSS - CodeAcademy,Masters in Urban Planning,Computer Science and Engineering
6,Machine Learning with JavaScript (Udemy), Data Science — Harvard,Big Data: Data Visualization (Future Learn),Marketing & advertising graphic design.," Algorithms, Part I by Princeton University (Coursera)",AWS Certification by Amazon,Content Marketing for B2B Enterprises - Udemy,Copywriting Blunders - Udemy, Social Media Analytics - Quintly, Learn to Code Awesome Websites - General Assembly,Masters in Urban Design,Electrical Engineering
7,Google Cloud Platform Big Data and Machine Learning Fundamentals (Coursera),Python for Data Science and Machine Learning Bootcamp — Udemy,"How to Process, Analyze and Visualize Data (MIT Open Courseware)",Environmental graphic design.," Python for Data Structures, Algorithms, and Interviews (Udemy)",Azure Introduction to Cloud Services,Content Marketing - QuickSprout, Content Marketing for B2B Enterprises - Udemy, Social Media Week of Webinars - Buffer,,Masters in Urban Housing,Polymer Engineering
8,"Machine Learning: Andrew Ng, Stanford University (YouTube)",,Free Data Visualization Classes (Skillshare),Art and illustration., JavaScript Algorithms and Data Structures Masterclass (Udemy),Learn Cloud Computing from Scratch,Social Media Certification - HubSpot Academy, Content Marketing - Udemy,,,M. Tech in Construction Engineering and Management,Electronics & Communication Engineering
9,Machine Learning by Columbia University (edX),,,, Learning Algorithms in JavaScript from Scratch (Udemy),,Developing an End-to-End Instagram Marketing Strategy For Your Business - HubSpot Academy,,,,,Petroleum Engineering
10,Machine Learning Crash Course (Google),,,, Mastering Data Structures & Algorithms using C and C++ (Udemy),,Social Media Marketing - edX,,,,,Visual Communication Design
11,Bayesian Machine Learning in Python: A/B Testing (Udemy),,,, Algorithms and Data Structures Micromaster Program (edX),,Digital Marketing Course - Google,,,,,Bachelor of Business Administration
